RespondentID,"Generally speaking, how would you rate your level of knowledgeÊof cuisines from different parts of the world?","How much, if at all, are you interested in cuisines from different parts of the world?",Please rate how much you like the traditional cuisine of Algeria:,Please rate how much you like the traditional cuisine of Argentina.,Please rate how much you like the traditional cuisine ofÊAustralia.,Please rate how much you like the traditional cuisine of Belgium.,Please rate how much you like the traditional cuisine of Bosnia and Herzegovina.,Please rate how much you like the traditional cuisine of Brazil.,Please rate how much you like the traditional cuisine of Cameroon.,Please rate how much you like the traditional cuisine of Chile.,Please rate how much you like the traditional cuisine of Colombia.,Please rate how much you like the traditional cuisine of Costa Rica.,Please rate how much you like the traditional cuisine of Croatia.,Please rate how much you like the traditional cuisine of Ecuador.,Please rate how much you like the traditional cuisine of England.,Please rate how much you like the traditional cuisine of France.,Please rate how much you like the traditional cuisine of Germany.,Please rate how much you like the traditional cuisine of Ghana.,Please rate how much you like the traditional cuisine of Greece.,Please rate how much you like the traditional cuisine of Honduras.,Please rate how much you like the traditional cuisine of Iran.,Please rate how much you like the traditional cuisine of Italy.,Please rate how much you like the traditional cuisine of Ivory Coast.,Please rate how much you like the traditional cuisine of Japan.,Please rate how much you like the traditional cuisine of Mexico.,Please rate how much you like the traditional cuisine of the Netherlands.,Please rate how much you like the traditional cuisine of Nigeria.,Please rate how much you like the traditional cuisine of Portugal.,Please rate how much you like the traditional cuisine of Russia.,Please rate how much you like the traditional cuisine of South Korea.,Please rate how much you like the traditional cuisine of Spain.,Please rate how much you like the traditional cuisine of Switzerland.,Please rate how much you like the traditional cuisine of United States.,Please rate how much you like the traditional cuisine of Uruguay.,Please rate how much you like the traditional cuisine of China.,Please rate how much you like the traditional cuisine of India.,Please rate how much you like the traditional cuisine of Thailand.,Please rate how much you like the traditional cuisine of Turkey.,Please rate how much you like the traditional cuisine of Cuba.,Please rate how much you like the traditional cuisine of Ethiopia.,Please rate how much you like the traditional cuisine of Vietnam.,Please rate how much you like the traditional cuisine of Ireland.,Gender,Age,Household Income,Education,Location (Census Region)
3308696221,Intermediate,Not muchÊ,N/A,N/A,1,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,3,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,Female,18-29,,,South Atlantic
3308696186,Advanced,A lot,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,5,N/A,N/A,4,N/A,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,4,Female,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
3308694655,Intermediate,A lot,N/A,N/A,3,2,2,N/A,N/A,2,3,N/A,N/A,N/A,4,3,5,N/A,4,4,4,4,N/A,4,5,N/A,N/A,N/A,4,N/A,3,3,4,N/A,4,5,5,N/A,3,N/A,N/A,3,Male,18-29,"$0 - $24,999",High school degree,South Atlantic
3308693743,Intermediate,A lot,3,3,2,3,N/A,3,N/A,3,3,3,N/A,3,3,4,3,3,4,N/A,4,5,N/A,2,5,3,N/A,3,3,N/A,3,3,4,3,2,5,5,5,4,5,4,3,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3308693243,Novice,Not at allÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,N/A,N/A,N/A,N/A,4,N/A,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,3,2,N/A,N/A,3,N/A,N/A,N/A,Male,45-60,,Bachelor degree,South Atlantic
3308691887,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,4,N/A,4,N/A,N/A,5,N/A,3,4,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,4,4,N/A,N/A,N/A,N/A,N/A,3,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
3308691132,Intermediate,A lot,3,3,3,2,N/A,3,N/A,3,3,3,3,3,3,5,3,3,3,3,2,5,N/A,5,5,N/A,3,3,3,5,5,3,5,3,5,4,5,3,5,N/A,2,3,Male,18-29,"$50,000 - $99,999",Bachelor degree,
3308690549,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,N/A,3,N/A,N/A,4,3,3,5,3,N/A,N/A,3,N/A,3,3,4,N/A,3,3,3,N/A,3,N/A,N/A,3,Female,45-60,,Some college or Associate degree,East North Central
3308690171,Intermediate,A lot,N/A,5,3,N/A,N/A,5,N/A,3,5,4,4,3,3,4,3,N/A,4,N/A,N/A,5,N/A,5,4,N/A,N/A,3,3,3,5,N/A,5,N/A,5,3,4,N/A,5,N/A,3,4,Female,45-60,"$150,000+",Bachelor degree,Middle Atlantic
3308689431,Intermediate,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308689374,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,2,N/A,2,N/A,N/A,5,N/A,3,5,N/A,N/A,N/A,N/A,N/A,4,N/A,2,N/A,3,N/A,N/A,N/A,3,N/A,N/A,2,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3308689072,Intermediate,Some,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,N/A,N/A,3,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,5,N/A,3,3,3,N/A,3,N/A,N/A,N/A,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3308687767,Advanced,A lot,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,3,N/A,4,N/A,3,5,N/A,4,5,N/A,N/A,N/A,3,4,4,N/A,2,N/A,4,5,5,N/A,4,4,N/A,3,Female,30-44,"$150,000+",Bachelor degree,South Atlantic
3308687706,Novice,A lot,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,4,N/A,2,3,5,N/A,4,N/A,N/A,5,N/A,5,3,4,N/A,N/A,3,2,3,4,3,N/A,5,5,4,3,N/A,4,5,3,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3308686878,Novice,Not at allÊ,2,2,4,3,2,4,2,1,2,3,3,2,5,4,3,4,4,1,1,5,2,4,2,4,3,2,4,3,2,4,5,3,2,2,4,3,1,2,2,3,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3308684357,Intermediate,Some,N/A,2,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,5,3,N/A,4,N/A,N/A,4,N/A,2,5,N/A,N/A,4,4,3,4,4,5,N/A,4,1,3,N/A,3,N/A,N/A,3,Male,> 60,"$150,000+",Graduate degree,West South Central
3308683714,Intermediate,Some,N/A,3,3,3,N/A,3,3,3,3,3,N/A,3,3,4,4,N/A,4,3,2,4,3,4,4,N/A,N/A,3,3,3,4,3,4,N/A,4,3,3,3,3,N/A,N/A,3,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308682260,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,5,N/A,3,N/A,N/A,4,N/A,3,3,N/A,N/A,3,N/A,N/A,3,N/A,4,N/A,3,3,N/A,N/A,3,N/A,N/A,4,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3308681795,Intermediate,Some,N/A,4,N/A,3,N/A,3,N/A,3,3,3,N/A,3,3,4,3,N/A,4,3,N/A,N/A,N/A,3,4,N/A,N/A,4,3,3,5,4,3,3,2,3,4,3,4,4,3,3,Female,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3308681074,Novice,Not muchÊ,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,2,3,3,N/A,N/A,N/A,N/A,3,N/A,3,4,3,N/A,N/A,N/A,3,3,3,3,N/A,4,1,3,N/A,3,N/A,3,4,Male,> 60,,Bachelor degree,West South Central
3308680553,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,N/A,3,N/A,N/A,4,N/A,4,2,3,N/A,N/A,2,3,3,N/A,3,N/A,3,3,3,N/A,N/A,N/A,2,N/A,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
3308680252,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,N/A,4,N/A,N/A,5,N/A,4,3,N/A,N/A,N/A,N/A,3,3,N/A,3,N/A,4,3,4,N/A,2,3,N/A,N/A,Male,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic
3308679861,Novice,Not muchÊ,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Male,30-44,,Graduate degree,South Atlantic
3308678746,Advanced,Some,N/A,5,4,4,4,4,N/A,5,5,4,3,4,2,5,5,N/A,5,2,N/A,5,N/A,4,3,4,N/A,4,3,4,4,4,5,4,5,3,4,4,3,N/A,4,3,Female,> 60,"$25,000 - $49,999",Graduate degree,East South Central
3308678417,Novice,Some,N/A,3,3,N/A,N/A,3,N/A,N/A,3,3,N/A,N/A,3,3,3,N/A,3,N/A,N/A,5,N/A,3,3,N/A,N/A,3,N/A,N/A,3,2,5,N/A,3,4,3,N/A,3,N/A,2,2,Male,45-60,"$150,000+",Bachelor degree,New England
3308677766,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308676736,Novice,Some,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,5,N/A,3,N/A,N/A,5,N/A,5,5,N/A,N/A,N/A,N/A,3,3,3,5,N/A,5,3,3,3,N/A,N/A,3,4,Female,> 60,"$150,000+",Bachelor degree,West South Central
3308675814,Novice,Not muchÊ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308675636,Advanced,A lot,4,4,3,4,N/A,N/A,4,N/A,4,4,N/A,N/A,3,4,3,N/A,4,4,4,5,N/A,3,5,4,4,4,3,3,4,3,3,N/A,5,4,4,5,5,N/A,4,2,Female,> 60,,Bachelor degree,South Atlantic
3308675380,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,3,N/A,N/A,3,N/A,N/A,5,N/A,4,3,N/A,N/A,N/A,4,1,4,N/A,5,N/A,4,4,4,4,3,N/A,4,N/A,Male,45-60,,High school degree,Pacific
3308674922,Novice,Some,N/A,4,N/A,N/A,N/A,3,N/A,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,4,N/A,4,4,3,N/A,2,3,3,N/A,2,3,3,3,3,3,N/A,N/A,N/A,3,N/A,Male,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3308673462,Intermediate,Some,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,5,N/A,N/A,4,N/A,N/A,5,N/A,3,5,N/A,N/A,N/A,N/A,N/A,4,N/A,5,N/A,5,4,5,N/A,N/A,3,4,N/A,Male,18-29,,,West North Central
3308673383,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central
3308672927,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Female,18-29,"$150,000+",High school degree,West North Central
3308672564,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,4,N/A,3,N/A,N/A,4,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,3,2,N/A,N/A,3,N/A,2,2,Male,30-44,,Bachelor degree,West North Central
3308671971,Novice,Some,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,3,N/A,4,N/A,N/A,4,N/A,3,4,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,4,2,4,3,N/A,N/A,3,3,Male,45-60,"$100,000 - $149,999",Bachelor degree,West North Central
3308671703,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,3,4,3,N/A,4,N/A,N/A,4,N/A,5,4,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,4,5,5,N/A,3,N/A,4,3,Male,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic
3308667784,Advanced,A lot,N/A,N/A,3,3,N/A,3,N/A,N/A,1,1,N/A,N/A,3,2,3,N/A,4,N/A,2,4,N/A,4,1,N/A,N/A,N/A,N/A,N/A,2,3,4,N/A,3,3,3,2,2,N/A,3,3,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3308666905,Intermediate,A lot,N/A,4,N/A,4,N/A,4,N/A,4,4,4,N/A,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,N/A,4,4,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central
3308665124,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,3,N/A,N/A,N/A,3,4,4,N/A,3,N/A,N/A,3,N/A,4,4,3,N/A,N/A,3,3,3,N/A,2,N/A,3,4,3,4,3,N/A,3,3,Male,30-44,"$0 - $24,999",Bachelor degree,East North Central
3308665000,Novice,A lot,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,3,3,N/A,N/A,3,4,4,N/A,4,N/A,3,3,N/A,5,4,N/A,N/A,3,3,3,4,N/A,3,N/A,5,5,4,5,4,4,3,3,Male,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3308664279,Advanced,A lot,N/A,N/A,4,4,N/A,3,N/A,3,N/A,N/A,N/A,N/A,4,4,4,N/A,2,N/A,N/A,4,N/A,4,4,N/A,N/A,N/A,N/A,4,3,N/A,5,N/A,4,2,4,N/A,3,N/A,4,4,Female,> 60,"$50,000 - $99,999",High school degree,West North Central
3308663506,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,4,4,4,N/A,N/A,N/A,4,N/A,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3308661633,Advanced,A lot,N/A,4,3,3,N/A,4,N/A,4,3,3,3,4,2,4,2,N/A,5,3,3,5,N/A,4,4,3,N/A,4,3,4,4,3,3,N/A,4,5,5,3,4,5,4,3,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3308661251,Advanced,Some,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Female,18-29,"$0 - $24,999",Less than high school degree,East South Central
3308659892,Novice,Not muchÊ,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,5,N/A,2,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central
3308659392,Novice,Some,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,3,N/A,3,3,4,N/A,4,N/A,N/A,4,N/A,3,3,3,N/A,N/A,N/A,N/A,3,N/A,5,N/A,3,3,3,N/A,3,N/A,3,3,Female,> 60,"$50,000 - $99,999",Graduate degree,Mountain
3308657899,Intermediate,Some,N/A,N/A,3,N/A,N/A,N/A,N/A,3,3,3,N/A,N/A,3,3,1,N/A,3,3,N/A,5,N/A,3,5,3,N/A,4,1,3,4,2,5,3,5,1,N/A,N/A,4,N/A,3,3,Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3308657638,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,4,N/A,N/A,4,N/A,3,3,N/A,N/A,N/A,3,3,4,N/A,3,N/A,4,4,3,N/A,3,N/A,3,3,Female,> 60,"$50,000 - $99,999",High school degree,Middle Atlantic
3308655883,Advanced,A lot,N/A,4,5,N/A,N/A,4,N/A,N/A,N/A,3,N/A,N/A,3,5,3,N/A,4,N/A,N/A,5,N/A,4,4,N/A,N/A,3,3,N/A,4,3,5,N/A,3,2,4,N/A,4,N/A,4,4,Male,> 60,"$100,000 - $149,999",Bachelor degree,South Atlantic
3308655644,Intermediate,Not muchÊ,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,4,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Male,30-44,,,South Atlantic
3308655180,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,3,3,4,N/A,4,N/A,N/A,3,N/A,4,4,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,4,4,5,N/A,2,N/A,5,3,Female,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic
3308655153,Intermediate,A lot,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,3,N/A,4,N/A,N/A,4,N/A,5,4,N/A,N/A,4,3,4,4,N/A,4,N/A,4,4,4,4,4,4,4,4,Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central
3308654307,Intermediate,Some,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,3,2,N/A,4,N/A,N/A,3,N/A,5,4,N/A,N/A,N/A,N/A,4,3,N/A,4,N/A,5,2,5,N/A,N/A,2,5,N/A,Female,30-44,,Graduate degree,West South Central
3308653845,Intermediate,A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308653803,Intermediate,A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308653756,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,2,N/A,4,N/A,N/A,N/A,N/A,4,5,N/A,N/A,N/A,4,4,N/A,4,N/A,N/A,5,5,N/A,N/A,N/A,4,5,2,Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3308653746,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,3,3,N/A,3,N/A,N/A,4,N/A,5,3,N/A,N/A,N/A,N/A,3,4,3,5,N/A,4,4,4,N/A,3,3,5,N/A,Male,18-29,,Some college or Associate degree,East North Central
3308653569,Intermediate,A lot,N/A,N/A,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,4,4,4,N/A,4,N/A,N/A,5,N/A,5,5,N/A,N/A,N/A,2,N/A,5,N/A,4,N/A,4,5,5,N/A,5,N/A,4,N/A,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3308652934,Novice,Some,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,5,4,4,3,5,3,N/A,3,N/A,N/A,5,N/A,4,5,N/A,N/A,N/A,N/A,N/A,4,3,4,N/A,4,N/A,3,3,N/A,N/A,4,3,Male,> 60,"$50,000 - $99,999",High school degree,Mountain
3308650893,Advanced,Some,N/A,3,3,4,N/A,3,N/A,3,3,4,3,N/A,5,4,5,N/A,5,3,5,5,N/A,4,5,5,N/A,N/A,5,4,5,5,5,N/A,5,5,4,N/A,4,N/A,5,5,Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3308649362,Intermediate,A lot,N/A,N/A,N/A,4,N/A,5,N/A,3,N/A,N/A,N/A,N/A,3,4,3,N/A,4,N/A,N/A,5,N/A,4,5,N/A,N/A,N/A,2,2,5,3,5,N/A,4,3,5,3,3,2,3,5,Female,18-29,"$0 - $24,999",Bachelor degree,West South Central
3308649079,Intermediate,Not at allÊ,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,3,2,3,N/A,N/A,N/A,N/A,4,N/A,1,3,N/A,N/A,N/A,2,1,3,N/A,4,2,1,2,1,N/A,2,N/A,N/A,N/A,Male,18-29,,High school degree,East North Central
3308648895,Intermediate,Some,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,5,4,3,5,N/A,N/A,5,N/A,5,4,4,N/A,N/A,N/A,5,4,N/A,5,N/A,3,5,N/A,4,4,5,5,5,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
3308646165,Novice,Some,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,3,N/A,N/A,3,N/A,4,N/A,4,N/A,N/A,4,N/A,4,4,N/A,N/A,4,N/A,N/A,5,N/A,3,N/A,3,N/A,4,N/A,4,N/A,N/A,3,Female,45-60,,Bachelor degree,Middle Atlantic
3308644636,Advanced,A lot,N/A,5,2,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,3,5,4,N/A,5,N/A,N/A,5,N/A,3,5,N/A,N/A,4,3,N/A,5,5,4,N/A,5,5,5,N/A,5,4,4,3,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific
3308644503,Expert,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,4,N/A,N/A,2,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,Female,30-44,"$0 - $24,999",Bachelor degree,West North Central
3308643561,Advanced,A lot,4,5,N/A,4,N/A,4,N/A,N/A,N/A,4,N/A,N/A,3,5,5,N/A,4,4,N/A,5,N/A,5,4,3,N/A,4,5,5,5,3,3,N/A,5,4,5,4,4,3,5,3,Male,45-60,"$150,000+",Graduate degree,South Atlantic
3308643339,Intermediate,Some,N/A,3,N/A,N/A,N/A,5,N/A,3,N/A,3,N/A,3,3,4,4,N/A,4,N/A,3,5,N/A,4,5,N/A,N/A,N/A,N/A,3,N/A,N/A,5,N/A,4,3,3,N/A,3,N/A,3,3,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3308639391,Intermediate,Some,N/A,N/A,3,N/A,N/A,3,N/A,4,4,N/A,N/A,N/A,4,4,4,N/A,N/A,N/A,N/A,5,N/A,3,5,N/A,N/A,N/A,3,3,3,3,5,N/A,4,4,3,N/A,2,N/A,N/A,N/A,Male,18-29,"$0 - $24,999",Some college or Associate degree,East South Central
3308638979,Advanced,Some,N/A,4,N/A,4,N/A,4,N/A,4,4,4,3,4,3,5,4,N/A,4,N/A,N/A,5,N/A,3,4,3,N/A,4,3,4,4,4,4,N/A,4,3,4,N/A,4,N/A,4,3,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3308638154,Intermediate,Some,N/A,4,3,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,3,4,3,N/A,4,N/A,N/A,4,N/A,4,4,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,3,4,4,N/A,3,N/A,3,3,Female,30-44,,Bachelor degree,East North Central
3308637185,Intermediate,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308635226,Intermediate,A lot,4,4,5,4,4,4,3,4,2,4,3,3,5,4,3,3,5,4,2,5,3,5,4,3,3,4,2,4,5,4,3,3,5,3,3,4,2,2,4,2,Male,18-29,,High school degree,New England
3308634064,Intermediate,A lot,3,4,3,3,3,3,3,5,3,4,2,3,3,3,3,3,5,3,4,5,3,4,3,3,3,5,2,3,5,3,4,4,3,4,5,4,5,4,3,3,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Pacific
3308633964,Advanced,A lot,5,5,2,N/A,N/A,4,N/A,4,3,N/A,4,3,3,5,5,N/A,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
