metro_area,holc_grade,white_pop,black_pop,hisp_pop,asian_pop,other_pop,total_pop,pct_white,pct_black,pct_hisp,pct_asian,pct_other,lq_white,lq_black,lq_hisp,lq_asian,lq_other,surr_area_white_pop,surr_area_black_pop,surr_area_hisp_pop,surr_area_asian_pop,surr_area_other_pop,surr_area_pct_white,surr_area_pct_black,surr_area_pct_hisp,surr_area_pct_asian,surr_area_pct_other
"Dayton-Kettering, OH",B,18875,15952,2153,681,2578,40238,46.91,39.64,5.35,1.69,6.41,0.81,1.33,1.1,1.06,1.09,154813,79341,12951,4282,15767,57.95,29.7,4.85,1.6,5.9
"Dayton-Kettering, OH",C,31008,13124,3598,620,3286,51635,60.05,25.42,6.97,1.2,6.36,1.04,0.86,1.44,0.75,1.08,154813,79341,12951,4282,15767,57.95,29.7,4.85,1.6,5.9
"Dayton-Kettering, OH",D,8883,10786,1072,179,1347,22269,39.89,48.44,4.81,0.81,6.05,0.69,1.63,0.99,0.5,1.03,154813,79341,12951,4282,15767,57.95,29.7,4.85,1.6,5.9
"Decatur, IL",A,2114,309,87,17,151,2678,78.94,11.56,3.23,0.62,5.64,1.32,0.39,1.12,0.69,0.86,30318,15115,1465,458,3335,59.81,29.82,2.89,0.9,6.58
"Decatur, IL",B,4144,3364,219,37,611,8375,49.48,40.17,2.62,0.45,7.29,0.83,1.35,0.91,0.49,1.11,30318,15115,1465,458,3335,59.81,29.82,2.89,0.9,6.58
"Decatur, IL",C,6298,6624,491,70,1146,14630,43.05,45.28,3.36,0.48,7.83,0.72,1.52,1.16,0.53,1.19,30318,15115,1465,458,3335,59.81,29.82,2.89,0.9,6.58
"Decatur, IL",D,2030,2250,153,22,434,4888,41.52,46.04,3.13,0.44,8.87,0.69,1.54,1.08,0.49,1.35,30318,15115,1465,458,3335,59.81,29.82,2.89,0.9,6.58
"Denver-Aurora-Lakewood, CO",A,10605,270,962,294,730,12860,82.46,2.1,7.48,2.29,5.67,1.43,0.32,0.28,0.66,1.04,460045,52036,212657,27752,43259,57.81,6.54,26.72,3.49,5.44
"Denver-Aurora-Lakewood, CO",B,29789,1400,3831,893,2130,38043,78.3,3.68,10.07,2.35,5.6,1.35,0.56,0.38,0.67,1.03,460045,52036,212657,27752,43259,57.81,6.54,26.72,3.49,5.44
"Denver-Aurora-Lakewood, CO",C,114180,6878,24668,4492,9134,159351,71.65,4.32,15.48,2.82,5.73,1.24,0.66,0.58,0.81,1.05,460045,52036,212657,27752,43259,57.81,6.54,26.72,3.49,5.44
"Denver-Aurora-Lakewood, CO",D,42365,6691,32194,2750,4547,88548,47.84,7.56,36.36,3.11,5.14,0.83,1.16,1.36,0.89,0.94,460045,52036,212657,27752,43259,57.81,6.54,26.72,3.49,5.44
"Des Moines-West Des Moines, IA",A,24197,1940,1902,929,1588,30556,79.19,6.35,6.22,3.04,5.2,1.25,0.6,0.43,0.48,1.01,160431,26698,36779,16060,13027,63.41,10.55,14.54,6.35,5.15
"Des Moines-West Des Moines, IA",B,17859,3533,4797,1786,1564,29540,60.46,11.96,16.24,6.05,5.29,0.95,1.13,1.12,0.95,1.03,160431,26698,36779,16060,13027,63.41,10.55,14.54,6.35,5.15
"Des Moines-West Des Moines, IA",C,38390,8870,11152,5120,3443,66976,57.32,13.24,16.65,7.64,5.14,0.9,1.26,1.15,1.2,1,160431,26698,36779,16060,13027,63.41,10.55,14.54,6.35,5.15
"Des Moines-West Des Moines, IA",D,18942,5498,7883,2929,1945,37197,50.92,14.78,21.19,7.87,5.23,0.8,1.4,1.46,1.24,1.02,160431,26698,36779,16060,13027,63.41,10.55,14.54,6.35,5.15
"Detroit-Warren-Dearborn, MI",A,33745,37381,2040,900,2935,77002,43.82,48.55,2.65,1.17,3.81,0.77,1.79,0.49,0.2,0.81,1954385,929170,184988,198693,162391,56.99,27.09,5.39,5.79,4.73
"Detroit-Warren-Dearborn, MI",B,67214,105556,6561,1444,7328,188103,35.73,56.12,3.49,0.77,3.9,0.63,2.07,0.65,0.13,0.82,1954385,929170,184988,198693,162391,56.99,27.09,5.39,5.79,4.73
"Detroit-Warren-Dearborn, MI",C,278844,235388,45758,13811,30258,604058,46.16,38.97,7.58,2.29,5.01,0.81,1.44,1.4,0.39,1.06,1954385,929170,184988,198693,162391,56.99,27.09,5.39,5.79,4.73
"Detroit-Warren-Dearborn, MI",D,88546,116045,37980,11152,13607,267328,33.12,43.41,14.21,4.17,5.09,0.58,1.6,2.63,0.72,1.07,1954385,929170,184988,198693,162391,56.99,27.09,5.39,5.79,4.73
"Dubuque, IA",A,2980,165,98,15,155,3413,87.31,4.85,2.86,0.45,4.54,1.04,0.77,0.77,0.45,0.88,47918,3587,2117,564,2934,83.89,6.28,3.71,0.99,5.14
"Dubuque, IA",B,15072,2179,1007,182,1303,19743,76.34,11.04,5.1,0.92,6.6,0.91,1.76,1.38,0.93,1.29,47918,3587,2117,564,2934,83.89,6.28,3.71,0.99,5.14
"Dubuque, IA",C,5953,267,203,54,314,6792,87.65,3.93,2.99,0.8,4.63,1.04,0.63,0.81,0.81,0.9,47918,3587,2117,564,2934,83.89,6.28,3.71,0.99,5.14
"Dubuque, IA",D,2880,375,173,20,217,3664,78.61,10.23,4.71,0.53,5.91,0.94,1.63,1.27,0.54,1.15,47918,3587,2117,564,2934,83.89,6.28,3.71,0.99,5.14
"Duluth, MN-WI",A,7176,102,157,164,517,8117,88.41,1.26,1.93,2.02,6.37,1.03,0.46,0.89,1.5,0.81,117643,3727,2974,1847,10723,85.92,2.72,2.17,1.35,7.83
"Duluth, MN-WI",B,14291,468,393,231,1383,16767,85.23,2.79,2.35,1.38,8.25,0.99,1.03,1.08,1.02,1.05,117643,3727,2974,1847,10723,85.92,2.72,2.17,1.35,7.83
