RespondentID,"In your opinion, which sentence is more gramatically correct?","Prior to reading about it above, had you heard of the serial (or Oxford) comma?","How much, if at all, do you care about the use (or lack thereof) of the serial (or Oxford) comma in grammar?",How would you write the following sentence?,"When faced with using the word ""data"", have you ever spent time considering if the word was a singular or plural noun?","How much, if at all, do you care about the debate over the use of the word ""data"" as a singluar or plural noun?","In your opinion, how important or unimportant is proper use of grammar?",Gender,Age,Household Income,Education,Location (Census Region)
3291334745,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,> 60,"$50,000 - $99,999",Graduate degree,New England
3291332110,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,,,,,
3291321932,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,,,,,
3291317447,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,,Some college or Associate degree,East North Central
3291295880,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Male,30-44,"$50,000 - $99,999",High school degree,Middle Atlantic
3291289627,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3291265464,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,,,,,
3291263195,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,,,,,,
3291261966,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,45-60,"$0 - $24,999",Bachelor degree,East South Central
3291253315,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
