ACN,DATE,LOCAL TIME OF DAY,PLACE.LOCALE REFERENCE,STATE REFERENCE,AIRCRAFT 1 MAKE MODEL,AIRCRAFT 1 OPERATOR,FLIGHT PHASE,ALTITUDE.AGL.SINGLE VALUE,NARRATIVE,SYNOPSIS
1504243,200507,0001-0600,ABQ.Airport,NM,Medium Large Transport,Air Carrier,Descent,1679m,"During descent near ABQ, we experienced a fuel imbalance. A flight attendant reported an unusual odor in the aft cabin. The aircraft landed without further incident.",Medium Large Transport flight crew reported a fuel imbalance near ABQ.
1504302,201001,0601-1200,BWI.Airport,MD,Small Aircraft,Fractional,Takeoff,589,"During takeoff near BWI, we experienced a near midair collision. The crew reviewed the chart and identified the published restriction. The crew returned to the departure airport as a precaution.",Small Aircraft flight crew reported a near midair collision near BWI.
1504316,201409,0601-1200,ICT.Airport,KS,Mooney M20K,Private Individual,Cruise,14867,"While in cruise out of ICT, the crew of a Mooney M20K, tail number N9464H, experienced a partial loss of engine power. The aircraft was operated by Private Individual and was at 14867 ft AGL when the event began. The crew reviewed the chart and identified the published restriction.",Mooney M20K reported a partial loss of engine power during cruise near ICT.
1504403,200812,0001-0600,ORD.Airport,IL,Maule MX-7-180,Private Individual,Initial Approach,7620,"While in initial approach out of ORD, the crew of a Maule MX-7-180, tail number N989FY, experienced a gear indication anomaly. The aircraft was operated by Private Individual and was at 7620 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The aircraft diverted and maintenance inspected the system.",Maule MX-7-180 reported a gear indication anomaly during initial approach near ORD.
1504432,202504,1801-2400,PDX.Airport,OR,Robinson R22 BETA,State of Alaska,Taxi,749,"While in taxi out of PDX, the crew of a Robinson R22 BETA, tail number N36651, experienced a near midair collision. The aircraft was operated by State of Alaska and was at 749 ft AGL when the event began.",Robinson R22 BETA reported a near midair collision during taxi near PDX.
1504523,202002,0601-1200,ELP.Airport,TX,Medium Large Transport,Fractional,Climb,1465,"During climb near ELP, we experienced a near midair collision. ATC issued a traffic alert and the crew initiated an immediate climb.",Medium Large Transport flight crew reported a near midair collision near ELP.
1504536,201201,1201-1800,RSW.Airport,FL,Medium Large Transport,Fractional,Taxi,123,"During taxi near RSW, we experienced a partial loss of engine power. Weather at the field was marginal VFR with gusting crosswinds. The flight continued to the destination and landed uneventfully.",Medium Large Transport flight crew reported a partial loss of engine power near RSW.
1504589,201406,0001-0600,BWI.Airport,MD,Cessna 182 SKYLANE,Ameriflite,Initial Climb,2405,"While in initial climb out of BWI, the crew of a Cessna 182 SKYLANE, tail number N525UJ, experienced a runway incursion. The aircraft was operated by Ameriflite and was at 2405 ft AGL when the event began. The crew reviewed the chart and identified the published restriction.",Cessna 182 SKYLANE reported a runway incursion during initial climb near BWI.
1504657,200112,0001-0600,HOU.Airport,TX,Robinson R44 II,Blueridge Helicopters,Climb,1378m,"While in climb out of HOU, the crew of a Robinson R44 II, tail number N8221K, experienced a gear indication anomaly. The aircraft was operated by Blueridge Helicopters and was at 1378m AGL when the event began.",Robinson R44 II reported a gear indication anomaly during climb near HOU.
1504675,201907,1201-1800,CLE.Airport,OH,Cessna 152,Private Individual,Initial Approach,7770,"While in initial approach out of CLE, the crew of a Cessna 152, tail number N9689E, experienced a gear indication anomaly. The aircraft was operated by Private Individual and was at 7770 ft AGL when the event began. Weather at the field was marginal VFR with gusting crosswinds. The crew returned to the departure airport as a precaution.",Cessna 152 reported a gear indication anomaly during initial approach near CLE.
1504755,200307,0001-0600,MEM.Airport,TN,Small Aircraft,Air Carrier,Initial Approach,1937,"During initial approach near MEM, we experienced a fuel imbalance. Company maintenance was contacted and a logbook entry was made.",Small Aircraft flight crew reported a fuel imbalance near MEM.
1504774,201907,1201-1800,STL.Airport,MO,Medium Large Transport,Air Carrier,Descent,3459,"During descent near STL, we experienced a flap asymmetry indication. The crew reviewed the chart and identified the published restriction. The crew returned to the departure airport as a precaution.",Medium Large Transport flight crew reported a flap asymmetry indication near STL.
1504858,199708,0601-1200,SDF.Airport,KY,Beechcraft BARON / 55 BARON,Meridian Air Charter,Initial Approach,2870,"While in initial approach out of SDF, the crew of a Beechcraft BARON / 55 BARON, tail number N43ZY, experienced a wake turbulence encounter. The aircraft was operated by Meridian Air Charter and was at 2870 ft AGL when the event began. The controller advised of opposite direction traffic at the same altitude.",Beechcraft BARON / 55 BARON reported a wake turbulence encounter during initial approach near SDF.
1504943,201007,1201-1800,LIT.Airport,AR,Piper PA-28-181,Private Individual,Final Approach,7091,"While in final approach out of LIT, the crew of a Piper PA-28-181, tail number N75TU, experienced a partial loss of engine power. The aircraft was operated by Private Individual and was at 7091 ft AGL when the event began.",Piper PA-28-181 reported a partial loss of engine power during final approach near LIT.
1504977,201603,0001-0600,BUR.Airport,CA,Piper PA-32R-301,Private Individual,Initial Approach,8377,"While in initial approach out of BUR, the crew of a Piper PA-32R-301, tail number N310YU, experienced a fuel imbalance. The aircraft was operated by Private Individual and was at 8377 ft AGL when the event began. The crew reviewed the chart and identified the published restriction.",Piper PA-32R-301 reported a fuel imbalance during initial approach near BUR.
1505001,199511,0001-0600,FSD.Airport,SD,Small Aircraft,Fractional,Initial Approach,1456,"During initial approach near FSD, we experienced an airspace incursion. The autopilot was disengaged and the aircraft was hand flown. The crew returned to the departure airport as a precaution.",Small Aircraft flight crew reported an airspace incursion near FSD.
1505098,201712,1801-2400,MCI.Airport,MO,Light Transport,Air Carrier,Descent,3310m,"During descent near MCI, we experienced smoke in the cockpit. Weather at the field was marginal VFR with gusting crosswinds.",Light Transport flight crew reported smoke in the cockpit near MCI.
1505124,200808,1801-2400,CRW.Airport,WV,Piper PA-18-150,Private Individual,Cruise,17033,"While in cruise into CRW, the crew of a Piper PA-18-150, tail number N302CV, experienced a fuel imbalance. The aircraft was operated by Private Individual and was at 17033 ft AGL when the event began. A flight attendant reported an unusual odor in the aft cabin. The aircraft diverted and maintenance inspected the system.",Piper PA-18-150 reported a fuel imbalance during cruise near CRW.
1505157,202203,1201-1800,ICT.Airport,KS,De Havilland DHC-2 TURBO-BEAVER,Private Individual,Taxi,68,"While in taxi into ICT, the crew of a De Havilland DHC-2 TURBO-BEAVER, tail number N596BF, experienced a wake turbulence encounter. The aircraft was operated by Private Individual and was at 68 ft AGL when the event began. A flight attendant reported an unusual odor in the aft cabin. The crew returned to the departure airport as a precaution.",De Havilland DHC-2 TURBO-BEAVER reported a wake turbulence encounter during taxi near ICT.
1505185,199804,0001-0600,BOS.Airport,MA,Piper PA-28 (ABOVE 200 HP),Private Individual,Taxi,131,"While in taxi into BOS, the crew of a Piper PA-28 (ABOVE 200 HP), tail number N3789K, experienced a TCAS resolution advisory. The aircraft was operated by Private Individual and was at 131 ft AGL when the event began.",Piper PA-28 (ABOVE 200 HP) reported a TCAS resolution advisory during taxi near BOS.
1505202,199706,0001-0600,IAH.Airport,TX,Small Aircraft,Fractional,Cruise,,"During cruise near IAH, we experienced an altitude deviation. The controller advised of opposite direction traffic at the same altitude.",Small Aircraft flight crew reported an altitude deviation near IAH.
1505271,199403,1201-1800,PBI.Airport,FL,Light Transport,Air Carrier,Initial Approach,4105,"During initial approach near PBI, we experienced a TCAS resolution advisory. The crew reviewed the chart and identified the published restriction. The flight continued to the destination and landed uneventfully.",Light Transport flight crew reported a TCAS resolution advisory near PBI.
1505335,202302,0601-1200,PHL.Airport,PA,Cessna 310R,Private Individual,Landing,347,"While in landing into PHL, the crew of a Cessna 310R, tail number N973KH, experienced a TCAS resolution advisory. The aircraft was operated by Private Individual and was at 347 ft AGL when the event began. The flight continued to the destination and landed uneventfully.",Cessna 310R reported a TCAS resolution advisory during landing near PHL.
1505394,202305,1801-2400,CMH.Airport,OH,Diamond DA20-C1,Redwood Med Flight,Initial Climb,6146,"While in initial climb out of CMH, the crew of a Diamond DA20-C1, tail number N7913L, experienced a runway incursion. The aircraft was operated by Redwood Med Flight and was at 6146 ft AGL when the event began. The controller advised of opposite direction traffic at the same altitude.",Diamond DA20-C1 reported a runway incursion during initial climb near CMH.
1505454,202405,0601-1200,DEN.Airport,CO,Cirrus SR20,Private Individual,Takeoff,1149m,"While in takeoff into DEN, the crew of a Cirrus SR20, tail number N69151, experienced a runway incursion. The aircraft was operated by Private Individual and was at 1149m AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb. The aircraft landed without further incident.",Cirrus SR20 reported a runway incursion during takeoff near DEN.
1505475,202106,1201-1800,ICT.Airport,KS,Medium Large Transport,Air Carrier,Initial Approach,8517,"During initial approach near ICT, we experienced a loss of separation. Weather at the field was marginal VFR with gusting crosswinds.",Medium Large Transport flight crew reported a loss of separation near ICT.
1505498,199801,1801-2400,BUR.Airport,CA,Medium Large Transport,Corporate,Taxi,559,"During taxi near BUR, we experienced a TCAS resolution advisory. Company maintenance was contacted and a logbook entry was made. The aircraft landed without further incident.",Medium Large Transport flight crew reported a TCAS resolution advisory near BUR.
1505582,202208,1801-2400,HNL.Airport,HI,Boeing 737 MAX 8,Untied Airlines,Descent,14425,"While in descent out of HNL, the crew of a Boeing 737 MAX 8, tail number N835SP, experienced a flap asymmetry indication. The aircraft was operated by Untied Airlines and was at 14425 ft AGL when the event began.",Boeing 737 MAX 8 reported a flap asymmetry indication during descent near HNL.
1505667,200802,0001-0600,JAC.Airport,WY,Cessna 421C,Private Individual,Cruise,9733,"While in cruise into JAC, the crew of a Cessna 421C, tail number N733JU, experienced a partial loss of engine power. The aircraft was operated by Private Individual and was at 9733 ft AGL when the event began. The first officer noticed the discrepancy during the checklist flow.",Cessna 421C reported a partial loss of engine power during cruise near JAC.
1505707,202505,1201-1800,JAX.Airport,FL,Diamond DA40,Private Individual,Landing,708,"While in landing into JAX, the crew of a Diamond DA40, tail number N7694Y, experienced a loss of separation. The aircraft was operated by Private Individual and was at 708 ft AGL when the event began.",Diamond DA40 reported a loss of separation during landing near JAX.
1505766,200506,0601-1200,ROC.Airport,NY,Light Transport,Corporate,Climb,3910,"During climb near ROC, we experienced an altitude deviation. Weather at the field was marginal VFR with gusting crosswinds. The flight continued to the destination and landed uneventfully.",Light Transport flight crew reported an altitude deviation near ROC.
1505806,201003,1201-1800,BTV.Airport,VT,Light Transport,Corporate,Final Approach,6808,"During final approach near BTV, we experienced a loss of separation. The autopilot was disengaged and the aircraft was hand flown.",Light Transport flight crew reported a loss of separation near BTV.
1505827,201712,1801-2400,ROC.Airport,NY,Beechcraft B200,State of Alaska,Descent,2149m,"While in descent into ROC, the crew of a Beechcraft B200, tail number N80265, experienced a pitot static anomaly. The aircraft was operated by State of Alaska and was at 2149m AGL when the event began. The crew reviewed the chart and identified the published restriction. The flight continued to the destination and landed uneventfully.",Beechcraft B200 reported a pitot static anomaly during descent near ROC.
1505839,200712,0001-0600,TEB.Airport,NJ,Cessna CITATION EXCEL,Bank of Utah Trustee,Takeoff,431,"While in takeoff out of TEB, the crew of a Cessna CITATION EXCEL, tail number N209TB, experienced an airspace incursion. The aircraft was operated by Bank of Utah Trustee and was at 431 ft AGL when the event began. The aircraft landed without further incident.",Cessna CITATION EXCEL reported an airspace incursion during takeoff near TEB.
1505913,199505,1801-2400,BDL.Airport,CT,Cessna 208B,US Department of the Interior,Initial Climb,1157,"While in initial climb into BDL, the crew of a Cessna 208B, tail number N76278, experienced a fuel imbalance. The aircraft was operated by US Department of the Interior and was at 1157 ft AGL when the event began.",Cessna 208B reported a fuel imbalance during initial climb near BDL.
1505928,199202,1801-2400,ICT.Airport,KS,Medium Large Transport,Personal,Climb,1267,"During climb near ICT, we experienced a loss of separation. A flight attendant reported an unusual odor in the aft cabin.",Medium Large Transport flight crew reported a loss of separation near ICT.
1505983,199312,0601-1200,ANC.Airport,AK,Medium Large Transport,Personal,Cruise,11983,"During cruise near ANC, we experienced a wake turbulence encounter. The autopilot was disengaged and the aircraft was hand flown. The flight continued to the destination and landed uneventfully.",Medium Large Transport flight crew reported a wake turbulence encounter near ANC.
1506052,200004,0001-0600,PIT.Airport,PA,Beechcraft 1900,US Department of the Interior,Climb,633,"While in climb into PIT, the crew of a Beechcraft 1900, tail number N766QE, experienced a runway incursion. The aircraft was operated by US Department of the Interior and was at 633 ft AGL when the event began. Company maintenance was contacted and a logbook entry was made.",Beechcraft 1900 reported a runway incursion during climb near PIT.
1506125,202005,0601-1200,TEB.Airport,NJ,Cessna 210 CENTURION,Pinnacle Energy Partners,Final Approach,6347,"While in final approach out of TEB, the crew of a Cessna 210 CENTURION, tail number N671SR, experienced a partial loss of engine power. The aircraft was operated by Pinnacle Energy Partners and was at 6347 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown.",Cessna 210 CENTURION reported a partial loss of engine power during final approach near TEB.
1506206,199406,1201-1800,FAI.Airport,AK,Cessna 182 SKYLANE,Bank of Utah Trustee,Final Approach,4367,"While in final approach into FAI, the crew of a Cessna 182 SKYLANE, tail number N80MR, experienced an airspace incursion. The aircraft was operated by Bank of Utah Trustee and was at 4367 ft AGL when the event began.",Cessna 182 SKYLANE reported an airspace incursion during final approach near FAI.
1506247,200108,1801-2400,MIA.Airport,FL,Medium Large Transport,Air Carrier,Descent,2683m,"During descent near MIA, we experienced a flap asymmetry indication. The first officer noticed the discrepancy during the checklist flow. The crew returned to the departure airport as a precaution.",Medium Large Transport flight crew reported a flap asymmetry indication near MIA.
1506327,202007,1201-1800,CAE.Airport,SC,Light Transport,Corporate,Taxi,161,"During taxi near CAE, we experienced a runway incursion. Company maintenance was contacted and a logbook entry was made.",Light Transport flight crew reported a runway incursion near CAE.
1506373,202505,1201-1800,SFO.Airport,CA,Gulfstream G-IV,Bank of Utah Trustee,Descent,11779,"While in descent out of SFO, the crew of a Gulfstream G-IV, tail number N231NS, experienced a loss of separation. The aircraft was operated by Bank of Utah Trustee and was at 11779 ft AGL when the event began.",Gulfstream G-IV reported a loss of separation during descent near SFO.
1506422,199308,0001-0600,SNA.Airport,CA,Piper PA-31-350,Private Individual,Descent,5901,"While in descent out of SNA, the crew of a Piper PA-31-350, tail number N354EL, experienced a near midair collision. The aircraft was operated by Private Individual and was at 5901 ft AGL when the event began. The first officer noticed the discrepancy during the checklist flow. The aircraft diverted and maintenance inspected the system.",Piper PA-31-350 reported a near midair collision during descent near SNA.
1506494,199911,0001-0600,DCA.Airport,VA,Robinson R66,Blue Ridge Helicopters,Initial Climb,,"While in initial climb into DCA, the crew of a Robinson R66, tail number N125NR, experienced a loss of separation. The aircraft was operated by Blue Ridge Helicopters and was at low altitude when the event began. Company maintenance was contacted and a logbook entry was made.",Robinson R66 reported a loss of separation during initial climb near DCA.
1506521,199906,0001-0600,TPA.Airport,FL,Small Aircraft,Corporate,Initial Approach,5784,"During initial approach near TPA, we experienced a loss of separation. The crew reviewed the chart and identified the published restriction.",Small Aircraft flight crew reported a loss of separation near TPA.
1506558,200910,0001-0600,CVG.Airport,KY,Small Aircraft,Fractional,Takeoff,423,"During takeoff near CVG, we experienced an airspace incursion. The autopilot was disengaged and the aircraft was hand flown. The aircraft diverted and maintenance inspected the system.",Small Aircraft flight crew reported an airspace incursion near CVG.
1506599,200106,0001-0600,LIT.Airport,AR,Cirrus SR22,High Plains Crop Dusting,Taxi,404,"While in taxi out of LIT, the crew of a Cirrus SR22, tail number N291NV, experienced a runway incursion. The aircraft was operated by High Plains Crop Dusting and was at 404 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown.",Cirrus SR22 reported a runway incursion during taxi near LIT.
1506694,202303,0001-0600,PDX.Airport,OR,Cessna 208 CARAVAN,Ameriflight,Descent,947m,"While in descent into PDX, the crew of a Cessna 208 CARAVAN, tail number N20BA, experienced smoke in the cockpit. The aircraft was operated by Ameriflight and was at 947m AGL when the event began.",Cessna 208 CARAVAN reported smoke in the cockpit during descent near PDX.
1506761,202304,1201-1800,OGG.Airport,HI,Boeing 717,Delta Airlines,Descent,11719,"While in descent out of OGG, the crew of a Boeing 717, tail number N1055S, experienced a pitot static anomaly. The aircraft was operated by Delta Airlines and was at 11719 ft AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb. The aircraft landed without further incident.",Boeing 717 reported a pitot static anomaly during descent near OGG.
1506784,202009,1801-2400,BTV.Airport,VT,Small Aircraft,Personal,Descent,9791,"During descent near BTV, we experienced a runway incursion. A flight attendant reported an unusual odor in the aft cabin.",Small Aircraft flight crew reported a runway incursion near BTV.
1506815,199303,1201-1800,MSN.Airport,WI,Small Aircraft,Corporate,Final Approach,3155,"During final approach near MSN, we experienced a pitot static anomaly. Company maintenance was contacted and a logbook entry was made. The aircraft landed without further incident.",Small Aircraft flight crew reported a pitot static anomaly near MSN.
1506860,201508,1801-2400,JAC.Airport,WY,Cessna 208B,US Department of the Interior,Initial Climb,4899,"While in initial climb out of JAC, the crew of a Cessna 208B, tail number N110VY, experienced a fuel imbalance. The aircraft was operated by US Department of the Interior and was at 4899 ft AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb. The crew returned to the departure airport as a precaution.",Cessna 208B reported a fuel imbalance during initial climb near JAC.
1506898,201811,0601-1200,FAR.Airport,ND,Beechcraft 58,Private Individual,Initial Approach,5813,"While in initial approach out of FAR, the crew of a Beechcraft 58, tail number N758ER, experienced a loss of separation. The aircraft was operated by Private Individual and was at 5813 ft AGL when the event began. The flight continued to the destination and landed uneventfully.",Beechcraft 58 reported a loss of separation during initial approach near FAR.
1506918,202202,0601-1200,OGG.Airport,HI,Maule MX-7-180,Private Individual,Descent,12172,"While in descent into OGG, the crew of a Maule MX-7-180, tail number N138TN, experienced a near midair collision. The aircraft was operated by Private Individual and was at 12172 ft AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb.",Maule MX-7-180 reported a near midair collision during descent near OGG.
1506936,201411,0601-1200,PIT.Airport,PA,Light Transport,Air Carrier,Taxi,632,"During taxi near PIT, we experienced a flap asymmetry indication. Weather at the field was marginal VFR with gusting crosswinds.",Light Transport flight crew reported a flap asymmetry indication near PIT.
1506966,202112,0001-0600,BDL.Airport,CT,Light Transport,Fractional,Climb,3238m,"During climb near BDL, we experienced a loss of separation. A flight attendant reported an unusual odor in the aft cabin. The aircraft diverted and maintenance inspected the system.",Light Transport flight crew reported a loss of separation near BDL.
1507028,199901,0001-0600,SNA.Airport,CA,Bombardier CL-44,High Plains Crop Dusting,Taxi,162,"While in taxi out of SNA, the crew of a Bombardier CL-44, tail number N555VS, experienced smoke in the cockpit. The aircraft was operated by High Plains Crop Dusting and was at 162 ft AGL when the event began. The aircraft landed without further incident.",Bombardier CL-44 reported smoke in the cockpit during taxi near SNA.
1507124,202007,0001-0600,SEA.Airport,WA,Piper PA-32R-301,Embry Riddle University,Landing,499,"While in landing out of SEA, the crew of a Piper PA-32R-301, tail number N28191, experienced a TCAS resolution advisory. The aircraft was operated by Embry Riddle University and was at 499 ft AGL when the event began. A flight attendant reported an unusual odor in the aft cabin. The crew returned to the departure airport as a precaution.",Piper PA-32R-301 reported a TCAS resolution advisory during landing near SEA.
1507149,200608,1801-2400,DFW.Airport,TX,Bell 212,Northern Lights Heli Services,Initial Approach,5946,"While in initial approach into DFW, the crew of a Bell 212, tail number N41780, experienced a TCAS resolution advisory. The aircraft was operated by Northern Lights Heli Services and was at 5946 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The flight continued to the destination and landed uneventfully.",Bell 212 reported a TCAS resolution advisory during initial approach near DFW.
1507193,200706,1201-1800,MCO.Airport,FL,Small Aircraft,Fractional,Cruise,10618,"During cruise near MCO, we experienced an altitude deviation. The crew reviewed the chart and identified the published restriction.",Small Aircraft flight crew reported an altitude deviation near MCO.
1507241,199101,1201-1800,DEN.Airport,CO,Light Transport,Corporate,Initial Climb,4888,"During initial climb near DEN, we experienced smoke in the cockpit. The first officer noticed the discrepancy during the checklist flow. The crew returned to the departure airport as a precaution.",Light Transport flight crew reported smoke in the cockpit near DEN.
1507315,201904,1201-1800,JAC.Airport,WY,Cirrus SR22T,Redwood Medflight,Initial Approach,5747,"While in initial approach into JAC, the crew of a Cirrus SR22T, tail number N721HL, experienced a TCAS resolution advisory. The aircraft was operated by Redwood Medflight and was at 5747 ft AGL when the event began. The crew reviewed the chart and identified the published restriction.",Cirrus SR22T reported a TCAS resolution advisory during initial approach near JAC.
1507366,199901,1801-2400,LAX.Airport,CA,Beechcraft BARON,ATP Flight School,Descent,16081,"While in descent out of LAX, the crew of a Beechcraft BARON, tail number N48WP, experienced an unstabilized approach. The aircraft was operated by ATP Flight School and was at 16081 ft AGL when the event began.",Beechcraft BARON reported an unstabilized approach during descent near LAX.
1507383,201405,1801-2400,CMH.Airport,OH,Piper PA-31 NAVAJO,Ameriflite,Descent,2595m,"While in descent into CMH, the crew of a Piper PA-31 NAVAJO, tail number N511TS, experienced smoke in the cockpit. The aircraft was operated by Ameriflite and was at 2595m AGL when the event began.",Piper PA-31 NAVAJO reported smoke in the cockpit during descent near CMH.
1507443,201209,0601-1200,PVD.Airport,RI,Light Transport,Fractional,Taxi,14,"During taxi near PVD, we experienced a near midair collision. The crew reviewed the chart and identified the published restriction.",Light Transport flight crew reported a near midair collision near PVD.
1507521,200506,1801-2400,GEG.Airport,WA,Light Transport,Personal,Descent,15030,"During descent near GEG, we experienced a TCAS resolution advisory. Weather at the field was marginal VFR with gusting crosswinds.",Light Transport flight crew reported a TCAS resolution advisory near GEG.
1507545,202405,0601-1200,BUF.Airport,NY,Cirrus SR22,Private Individual,Final Approach,4326,"While in final approach out of BUF, the crew of a Cirrus SR22, tail number N7636Y, experienced a pitot static anomaly. The aircraft was operated by Private Individual and was at 4326 ft AGL when the event began. Weather at the field was marginal VFR with gusting crosswinds. The crew returned to the departure airport as a precaution.",Cirrus SR22 reported a pitot static anomaly during final approach near BUF.
1507559,202010,0601-1200,SAN.Airport,CA,Airbus A320,Republic Airways,Initial Approach,,"While in initial approach out of SAN, the crew of a Airbus A320, tail number N71KA, experienced an altitude deviation. The aircraft was operated by Republic Airways and was at low altitude when the event began. The aircraft diverted and maintenance inspected the system.",Airbus A320 reported an altitude deviation during initial approach near SAN.
1507647,202308,0001-0600,TPA.Airport,FL,Boeing 737-8H4,Republic Airways,Taxi,524,"While in taxi into TPA, the crew of a Boeing 737-8H4, tail number N823JG, experienced a wake turbulence encounter. The aircraft was operated by Republic Airways and was at 524 ft AGL when the event began.",Boeing 737-8H4 reported a wake turbulence encounter during taxi near TPA.
1507702,202408,1801-2400,RDU.Airport,NC,Small Aircraft,Corporate,Takeoff,758,"During takeoff near RDU, we experienced an unstabilized approach. Company maintenance was contacted and a logbook entry was made.",Small Aircraft flight crew reported an unstabilized approach near RDU.
1507779,200209,1801-2400,SAN.Airport,CA,Small Aircraft,Fractional,Takeoff,315,"During takeoff near SAN, we experienced a near midair collision. The first officer noticed the discrepancy during the checklist flow. The aircraft diverted and maintenance inspected the system.",Small Aircraft flight crew reported a near midair collision near SAN.
1507863,201905,0001-0600,IAH.Airport,TX,Cessna 208 CARAVAN,FedEx Express,Final Approach,2798m,"While in final approach into IAH, the crew of a Cessna 208 CARAVAN, tail number N88TX, experienced a fuel imbalance. The aircraft was operated by FedEx Express and was at 2798m AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The aircraft landed without further incident.",Cessna 208 CARAVAN reported a fuel imbalance during final approach near IAH.
1507924,201306,1801-2400,GEG.Airport,WA,Piper PA-46-500TP,Republic Airways Inc,Takeoff,315,"While in takeoff out of GEG, the crew of a Piper PA-46-500TP, tail number N647BX, experienced a flap asymmetry indication. The aircraft was operated by Republic Airways Inc and was at 315 ft AGL when the event began. The crew returned to the departure airport as a precaution.",Piper PA-46-500TP reported a flap asymmetry indication during takeoff near GEG.
1508017,202112,1201-1800,HOU.Airport,TX,Piper PA-34-220T,Private Individual,Initial Climb,5651,"While in initial climb into HOU, the crew of a Piper PA-34-220T, tail number N66174, experienced a pitot static anomaly. The aircraft was operated by Private Individual and was at 5651 ft AGL when the event began.",Piper PA-34-220T reported a pitot static anomaly during initial climb near HOU.
1508045,201012,1201-1800,LAS.Airport,NV,Light Transport,Fractional,Landing,467,"During landing near LAS, we experienced a loss of separation. The crew reviewed the chart and identified the published restriction. The aircraft diverted and maintenance inspected the system.",Light Transport flight crew reported a loss of separation near LAS.
1508108,202212,0601-1200,LAS.Airport,NV,Small Aircraft,Corporate,Landing,569,"During landing near LAS, we experienced an unstabilized approach. The controller advised of opposite direction traffic at the same altitude. The crew returned to the departure airport as a precaution.",Small Aircraft flight crew reported an unstabilized approach near LAS.
1508169,202409,0601-1200,STL.Airport,MO,Cessna 210L,Private Individual,Initial Climb,2046,"While in initial climb out of STL, the crew of a Cessna 210L, tail number N31CM, experienced a gear indication anomaly. The aircraft was operated by Private Individual and was at 2046 ft AGL when the event began. The crew reviewed the chart and identified the published restriction.",Cessna 210L reported a gear indication anomaly during initial climb near STL.
1508219,202405,0601-1200,CAE.Airport,SC,Beechcraft 1900D,Meridian Air Charters,Final Approach,8592,"While in final approach into CAE, the crew of a Beechcraft 1900D, tail number N9605J, experienced a loss of separation. The aircraft was operated by Meridian Air Charters and was at 8592 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The flight continued to the destination and landed uneventfully.",Beechcraft 1900D reported a loss of separation during final approach near CAE.
1508271,200706,0001-0600,CAE.Airport,SC,Cirrus SR20,Private Individual,Initial Climb,943,"While in initial climb into CAE, the crew of a Cirrus SR20, tail number N67373, experienced a runway incursion. The aircraft was operated by Private Individual and was at 943 ft AGL when the event began.",Cirrus SR20 reported a runway incursion during initial climb near CAE.
1508316,199306,1801-2400,BHM.Airport,AL,Medium Large Transport,Corporate,Descent,647m,"During descent near BHM, we experienced a near midair collision. ATC issued a traffic alert and the crew initiated an immediate climb.",Medium Large Transport flight crew reported a near midair collision near BHM.
1508366,201012,0601-1200,FAR.Airport,ND,Medium Large Transport,Fractional,Taxi,95,"During taxi near FAR, we experienced an unstabilized approach. A flight attendant reported an unusual odor in the aft cabin. The crew returned to the departure airport as a precaution.",Medium Large Transport flight crew reported an unstabilized approach near FAR.
1508401,199207,0001-0600,DAB.Airport,FL,Robinson R44 II,Blueridge Helicopters,Initial Climb,3331,"While in initial climb into DAB, the crew of a Robinson R44 II, tail number N120CC, experienced a loss of separation. The aircraft was operated by Blueridge Helicopters and was at 3331 ft AGL when the event began. The controller advised of opposite direction traffic at the same altitude.",Robinson R44 II reported a loss of separation during initial climb near DAB.
1508475,201603,0601-1200,DAB.Airport,FL,Cessna 210L,Private Individual,Landing,529,"While in landing out of DAB, the crew of a Cessna 210L, tail number N33TJ, experienced a pitot static anomaly. The aircraft was operated by Private Individual and was at 529 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The crew returned to the departure airport as a precaution.",Cessna 210L reported a pitot static anomaly during landing near DAB.
1508528,200412,1201-1800,SJC.Airport,CA,Bombardier GLOBAL EXPRESS,High Plains Crop Dusting,Descent,14123,"While in descent into SJC, the crew of a Bombardier GLOBAL EXPRESS, tail number N4167J, experienced a partial loss of engine power. The aircraft was operated by High Plains Crop Dusting and was at 14123 ft AGL when the event began. The first officer noticed the discrepancy during the checklist flow.",Bombardier GLOBAL EXPRESS reported a partial loss of engine power during descent near SJC.
1508590,200803,0001-0600,MDW.Airport,IL,Medium Large Transport,Corporate,Climb,524,"During climb near MDW, we experienced a partial loss of engine power. The controller advised of opposite direction traffic at the same altitude. The flight continued to the destination and landed uneventfully.",Medium Large Transport flight crew reported a partial loss of engine power near MDW.
1508667,201901,1201-1800,MEM.Airport,TN,Medium Large Transport,Corporate,Takeoff,520,"During takeoff near MEM, we experienced a gear indication anomaly. The autopilot was disengaged and the aircraft was hand flown.",Medium Large Transport flight crew reported a gear indication anomaly near MEM.
